__v,_id,email,groups,isAdmin,password,subjects,tokenExpiration,username
0,6471ea1d8c0d64b3c26745d2,admin@dgu.co.kr,[],true,$2b$10$TTSeCpBVkKBJl5F9GVw9/.DjnXjHSPyJ2HtatfTzoS2w/6E74juVe,[],,관리자
1,6471ea1d8c0d64b3c267469c,2023054444@dgu.co.kr,[],false,$2b$10$HwVrh/Ga3obr/hAM9SiExOVfDJCFhfWjb5MB6yK.wnZsVZtHElOFa,"[{""$oid"":""6471ea1d8c0d64b3c267460e""},{""$oid"":""6471ea1d8c0d64b3c2674668""},{""$oid"":""6471ea1d8c0d64b3c267465a""},{""$oid"":""6471ea1d8c0d64b3c2674604""}]",0,이윤서
1,6471ea1d8c0d64b3c267469e,2023405382@dgu.co.kr,[],false,$2b$10$Kb3D7T4cM/1UcdJF4UmowOIm0sgUY4flMq36K53Ilah/RL/T5HRUu,"[{""$oid"":""6471ea1d8c0d64b3c267468a""},{""$oid"":""6471ea1d8c0d64b3c267461a""},{""$oid"":""6471ea1d8c0d64b3c2674694""},{""$oid"":""6471ea1d8c0d64b3c2674632""},{""$oid"":""6471ea1d8c0d64b3c267465a""},{""$oid"":""6471ea1d8c0d64b3c2674688""}]",0,임소영
1,6471ea1d8c0d64b3c26746a0,2023550699@dgu.co.kr,[],false,$2b$10$OgCTfIXNinyceU8uEaD74OQ4N/rqn3vkpbmyoj3wTfMDlYQ8a3RMO,"[{""$oid"":""6471ea1d8c0d64b3c2674692""},{""$oid"":""6471ea1d8c0d64b3c267463c""},{""$oid"":""6471ea1d8c0d64b3c26745e2""},{""$oid"":""6471ea1d8c0d64b3c26745ea""},{""$oid"":""6471ea1d8c0d64b3c2674618""}]",0,정지우
1,6471ea1d8c0d64b3c26746a2,2023503717@dgu.co.kr,[],false,$2b$10$HUl051xjqnaUFb/uHgJKTOw5SiFnpIBFlsfj7QvuPz0WdHhb5uCqy,"[{""$oid"":""6471ea1d8c0d64b3c267469a""},{""$oid"":""6471ea1d8c0d64b3c267466c""},{""$oid"":""6471ea1d8c0d64b3c26745f0""},{""$oid"":""6471ea1d8c0d64b3c26745d6""},{""$oid"":""6471ea1d8c0d64b3c26745ec""}]",0,한유찬
1,6471ea1d8c0d64b3c26746a4,2023810978@dgu.co.kr,[],false,$2b$10$kitSsfKLnFsMywSZJW6ZNeB2ONVgUd/UYC9sr1JoD4gZtvHC1P5au,"[{""$oid"":""6471ea1d8c0d64b3c267467c""},{""$oid"":""6471ea1d8c0d64b3c267468c""},{""$oid"":""6471ea1d8c0d64b3c2674638""},{""$oid"":""6471ea1d8c0d64b3c2674634""}]",0,신유찬
1,6471ea1d8c0d64b3c26746a6,2023064136@dgu.co.kr,[],false,$2b$10$Bje7LCTp/e7GN3yMT1wyM.ul5sNOcTSdegcJJBFEdJexPUxyHTdGe,"[{""$oid"":""6471ea1d8c0d64b3c26745e6""},{""$oid"":""6471ea1d8c0d64b3c267461c""},{""$oid"":""6471ea1d8c0d64b3c267461e""},{""$oid"":""6471ea1d8c0d64b3c2674630""}]",0,류하준
1,6471ea1d8c0d64b3c26746a8,2023512861@dgu.co.kr,[],false,$2b$10$UOXl0h2Mb2UNq0IGtDj7See/O.Evd57lGs56p0c/5h6AsZx7NurWS,"[{""$oid"":""6471ea1d8c0d64b3c2674646""},{""$oid"":""6471ea1d8c0d64b3c267465c""},{""$oid"":""6471ea1d8c0d64b3c2674606""},{""$oid"":""6471ea1d8c0d64b3c2674656""}]",0,김세아
1,6471ea1d8c0d64b3c26746aa,2023382490@dgu.co.kr,[],false,$2b$10$Kp0VOnoZom0o9QDH/FxPJ.wYSBvacTvqfTjCj/rboTuwaIqkhuBnC,"[{""$oid"":""6471ea1d8c0d64b3c26745f2""},{""$oid"":""6471ea1d8c0d64b3c267464c""},{""$oid"":""6471ea1d8c0d64b3c267466a""},{""$oid"":""6471ea1d8c0d64b3c2674622""},{""$oid"":""6471ea1d8c0d64b3c2674692""}]",0,임유준
1,6471ea1d8c0d64b3c26746ac,2023501541@dgu.co.kr,[],false,$2b$10$b77mFzGOgVxiB8iSUzuLl.aRfJdrGRBp0iWqoD5NYXYSnqN/SFGpK,"[{""$oid"":""6471ea1d8c0d64b3c2674610""},{""$oid"":""6471ea1d8c0d64b3c2674696""},{""$oid"":""6471ea1d8c0d64b3c2674622""},{""$oid"":""6471ea1d8c0d64b3c2674672""},{""$oid"":""6471ea1d8c0d64b3c2674642""}]",0,성유빈
1,6471ea1d8c0d64b3c26746ae,2023221036@dgu.co.kr,[],false,$2b$10$bHmalG.7ZSmA7TQVQl3A2O9h6dc40xZo2PNG8f7yuBg1ksujEZD76,"[{""$oid"":""6471ea1d8c0d64b3c267464e""},{""$oid"":""6471ea1d8c0d64b3c2674636""},{""$oid"":""6471ea1d8c0d64b3c2674692""},{""$oid"":""6471ea1d8c0d64b3c267465a""},{""$oid"":""6471ea1d8c0d64b3c2674652""},{""$oid"":""6471ea1d8c0d64b3c2674634""}]",0,류유준
